# reading -> cuneiform codepoint, learned from lines where the codepoint
# count equals the sign count. Generated by programs/learn_signmap.py.
# reading	cuneiform	confidence	top_obs	total_obs	unicode_name
tén	𒁷	1.000	686	686	CUNEIFORM SIGN DIN
wu	𒊇	0.721	492	682	CUNEIFORM SIGN PI TIMES U
KUŠ	𒋢	1.000	681	681	CUNEIFORM SIGN SU
KA	𒅗	0.991	673	679	CUNEIFORM SIGN KA
ud	𒌓	0.997	672	674	CUNEIFORM SIGN UD
MAḪ	𒈤	1.000	674	674	CUNEIFORM SIGN MAH
KÚR	𒉽	0.999	673	674	CUNEIFORM SIGN PAP
DUB	𒁾	0.999	669	670	CUNEIFORM SIGN DUB
DI	𒁲	1.000	662	662	CUNEIFORM SIGN DI
AT	𒀜	0.998	655	656	CUNEIFORM SIGN AD
bi	𒁉	0.998	646	647	CUNEIFORM SIGN BI
GÙB	𒆏	0.997	644	646	CUNEIFORM SIGN KAB
kiš	𒆧	1.000	631	631	CUNEIFORM SIGN KISH
NAR	𒈜	0.998	628	629	CUNEIFORM SIGN LUL
ŠEŠ	𒋀	1.000	628	628	CUNEIFORM SIGN SHESH
UŠ	𒍑	0.998	625	626	CUNEIFORM SIGN USH
f	𒊩	0.998	623	624	CUNEIFORM SIGN SAL
ad	𒀜	0.997	615	617	CUNEIFORM SIGN AD
ḫe	𒄭	0.998	614	615	CUNEIFORM SIGN HI
kal	𒆗	1.000	609	609	CUNEIFORM SIGN KAL
eḫ	𒄴	1.000	604	604	CUNEIFORM SIGN HI TIMES NUN
ù	𒅇	0.998	602	603	CUNEIFORM SIGN IGI DIB
½	𒁇	0.997	599	601	CUNEIFORM SIGN BAR
BA₄	𒂷	1.000	597	597	CUNEIFORM SIGN GA2
BE	𒁁	0.998	593	594	CUNEIFORM SIGN BAD
TU₇	𒄰	1.000	594	594	CUNEIFORM SIGN HI TIMES BAD
TIM	𒁴	0.998	586	587	CUNEIFORM SIGN DIM
GÍN	𒂆	1.000	567	567	CUNEIFORM SIGN DUN3 GUNU
KIN	𒆥	0.994	541	544	CUNEIFORM SIGN KIN
GÁL	𒅅	1.000	543	543	CUNEIFORM SIGN IG
AZU	𒉙	1.000	542	542	CUNEIFORM SIGN NINDA2 TIMES NUN
5	𒐊	0.998	537	538	CUNEIFORM NUMERIC SIGN FIVE DISH
UR	𒌨	0.998	535	536	CUNEIFORM SIGN UR
gi	𒄀	1.000	536	536	CUNEIFORM SIGN GI
SAR	𒊬	0.998	533	534	CUNEIFORM SIGN SAR
zé	𒍢	0.998	527	528	CUNEIFORM SIGN ZE2
šal	𒊩	0.998	523	524	CUNEIFORM SIGN SAL
SÍG	𒋠	1.000	524	524	CUNEIFORM SIGN SIK2
né	𒉌	0.996	519	521	CUNEIFORM SIGN NI
LAM	𒇴	1.000	519	519	CUNEIFORM SIGN LAM
SI×SÁ	􀀀	0.994	514	517	(unnamed)
BAL	𒁄	1.000	513	513	CUNEIFORM SIGN BAL
n	▒	0.998	511	512	MEDIUM SHADE
KÁ	𒆍	0.998	509	510	CUNEIFORM SIGN KA2
GADA	𒃰	0.998	508	509	CUNEIFORM SIGN GAD
ŠUM	𒋳	1.000	506	506	CUNEIFORM SIGN TAG
MÁŠ	𒈧	1.000	506	506	CUNEIFORM SIGN MASH2
